,RunId,iteration,Step,width,height,cooperation_reward,defected_reward,defection_reward,mutual_defection_reward,Is Alive,Cooperating,Defecting,Proportion,Altruism
200,200,0,25,10,10,0.75,0.0,0.5,0.0,100,100,0,100.0,450.0
201,201,0,25,10,10,0.75,0.0,0.5,0.25,100,100,0,100.0,450.0
202,202,0,25,10,10,0.75,0.0,0.5,0.5,100,100,0,100.0,450.0
203,203,0,25,10,10,0.75,0.0,0.5,0.75,100,0,100,0.0,0.0
204,204,0,25,10,10,0.75,0.0,0.75,0.0,99,99,0,100.0,445.5
205,205,0,25,10,10,0.75,0.0,0.75,0.25,100,0,100,0.0,0.0
206,206,0,25,10,10,0.75,0.0,0.75,0.5,100,0,100,0.0,0.0
207,207,0,25,10,10,0.75,0.0,0.75,0.75,100,0,100,0.0,0.0
208,208,0,25,10,10,0.75,0.25,0.0,0.0,100,100,0,100.0,450.0
209,209,0,25,10,10,0.75,0.25,0.0,0.25,100,100,0,100.0,450.0
210,210,0,25,10,10,0.75,0.25,0.0,0.5,100,100,0,100.0,450.0
211,211,0,25,10,10,0.75,0.25,0.0,0.75,79,78,1,98.73417721518987,349.5
212,212,0,25,10,10,0.75,0.25,0.25,0.0,100,100,0,100.0,450.0
213,213,0,25,10,10,0.75,0.25,0.25,0.25,100,100,0,100.0,450.0
214,214,0,25,10,10,0.75,0.25,0.25,0.5,100,100,0,100.0,450.0
215,215,0,25,10,10,0.75,0.25,0.25,0.75,100,0,100,0.0,0.0
216,216,0,25,10,10,0.75,0.25,0.5,0.0,100,100,0,100.0,450.0
217,217,0,25,10,10,0.75,0.25,0.5,0.25,100,100,0,100.0,450.0
218,218,0,25,10,10,0.75,0.25,0.5,0.5,100,100,0,100.0,450.0
219,219,0,25,10,10,0.75,0.25,0.5,0.75,86,3,83,3.488372093023256,13.5
220,220,0,25,10,10,0.75,0.25,0.75,0.0,100,100,0,100.0,450.0
221,221,0,25,10,10,0.75,0.25,0.75,0.25,100,100,0,100.0,450.0
222,222,0,25,10,10,0.75,0.25,0.75,0.5,96,5,91,5.208333333333334,16.5
223,223,0,25,10,10,0.75,0.25,0.75,0.75,100,0,100,0.0,0.0
224,224,0,25,10,10,0.75,0.5,0.0,0.0,100,100,0,100.0,450.0
225,225,0,25,10,10,0.75,0.5,0.0,0.25,100,100,0,100.0,450.0
226,226,0,25,10,10,0.75,0.5,0.0,0.5,100,100,0,100.0,450.0
227,227,0,25,10,10,0.75,0.5,0.0,0.75,97,97,0,100.0,436.5
228,228,0,25,10,10,0.75,0.5,0.25,0.0,100,100,0,100.0,450.0
229,229,0,25,10,10,0.75,0.5,0.25,0.25,100,100,0,100.0,450.0
230,230,0,25,10,10,0.75,0.5,0.25,0.5,100,100,0,100.0,450.0
231,231,0,25,10,10,0.75,0.5,0.25,0.75,100,100,0,100.0,450.0
232,232,0,25,10,10,0.75,0.5,0.5,0.0,100,100,0,100.0,450.0
233,233,0,25,10,10,0.75,0.5,0.5,0.25,100,100,0,100.0,450.0
234,234,0,25,10,10,0.75,0.5,0.5,0.5,100,100,0,100.0,450.0
235,235,0,25,10,10,0.75,0.5,0.5,0.75,82,6,76,7.317073170731707,23.5
236,236,0,25,10,10,0.75,0.5,0.75,0.0,100,100,0,100.0,450.0
237,237,0,25,10,10,0.75,0.5,0.75,0.25,100,100,0,100.0,450.0
238,238,0,25,10,10,0.75,0.5,0.75,0.5,100,100,0,100.0,450.0
239,239,0,25,10,10,0.75,0.5,0.75,0.75,100,0,100,0.0,0.0
240,240,0,25,10,10,0.75,0.75,0.0,0.0,100,100,0,100.0,450.0
241,241,0,25,10,10,0.75,0.75,0.0,0.25,100,100,0,100.0,450.0
242,242,0,25,10,10,0.75,0.75,0.0,0.5,100,100,0,100.0,450.0
243,243,0,25,10,10,0.75,0.75,0.0,0.75,100,100,0,100.0,450.0
244,244,0,25,10,10,0.75,0.75,0.25,0.0,100,100,0,100.0,450.0
245,245,0,25,10,10,0.75,0.75,0.25,0.25,100,100,0,100.0,450.0
